NOME,ENDERECO,CONTATO,SITE_LISTA,SITE_MODAL
Demema Outlet,"Av. dos Estados, 33 - Parque Central, Santo André - SP, 09210-580 ",(11) 4462-3300 ,N/A (Ignorado por segurança),http://www.dememaoutlet.com.br/
Super Casa,"R. Campos Sales, 297 - Centro, Santo André - SP, 09010-020 ",(11) 4438-0064 ,N/A (Ignorado por segurança),Não informado
Armanny Móveis - Loja de Móveis Santo André,"R. Gen. Glicério, 375 - Centro, Santo André - SP, 09015-191 ",(11) 4436-2350 ,N/A (Ignorado por segurança),https://www.instagram.com/armannymoveis/
Móveis Paraíso,"R. Jabaquara, 218 - Paraíso, Santo André - SP, 09190-660 ",(11) 4438-8351 ,N/A (Ignorado por segurança),Não informado
Bio Móveis,"Estr. do Pedroso, 552 - Vila Luzita, Santo André - SP, 09132-180 ",(11) 4974-0090 ,N/A (Ignorado por segurança),Não informado
De Bertassi Moveis,"R. Maria Cândida, 305 - Vila Linda, Santo André - SP, 09175-740 ",(11) 95269-5704 ,N/A (Ignorado por segurança),Não informado
Oasis Móveis,"R. Gen. Glicério, 311 - Centro, Santo André - SP, 09015-190 ",(11) 4427-9822 ,N/A (Ignorado por segurança),https://www.instagram.com/oasis_moveis/
Movesq - Móveis para Escritório,"Av. Queirós dos Santos, 1848 - Casa Branca, Santo André - SP, 09015-311 ",(11) 4993-4999 ,N/A (Ignorado por segurança),https://movesq.com.br/
Exército de Salvação - Bazar Beneficente - Santo André,"R. Luís Mariani, 136 - Centro, Mauá - SP, 09390-050 ",(11) 4003-2299 ,N/A (Ignorado por segurança),http://www.exercitodoacoes.org.br/
Céu Azul Estofados,"R. Gen. Glicério, 405 - Centro, Santo André - SP, 09015-190 ",(11) 4432-3121 ,N/A (Ignorado por segurança),http://www.ceuazulestofados.com.br/
Rhiad - Móveis,"Av. Itamarati, 3131 - Parque Erasmo Assunção, Santo André - SP, 09271-460 ",(11) 91779-2477 ,N/A (Ignorado por segurança),https://www.instagram.com/rhiad_itamarati/
Riq Móveis - Mobiliário Corporativo,"Av. Pereira Barreto, 1588 - Paraíso, Santo André - SP, 09190-210 ",(11) 4422-8181 ,N/A (Ignorado por segurança),http://www.riqmoveis.com.br/
Mario Móveis,"R. Gen. Glicério, 304 - Centro, Santo André - SP, 09015-191 ",(11) 4990-4166 ,N/A (Ignorado por segurança),Não informado
Móveis Visual,"R. Londres, 719 - Utinga, Santo André - SP, 09220-320 ",(11) 4229-7381 ,N/A (Ignorado por segurança),http://www.moveisdeescritoriovisual.com.br/
MONTADOR DE MÓVEIS EM SANTO ANDRÉ,"R. Ascalon, 191 - Jardim Oriental, Santo André - SP, 09185-080 ",(11) 94812-2153 ,N/A (Ignorado por segurança),https://www.facebook.com/gigantemontador?mibextid=ZbWKwL
Usadão do jacaré,"R. das Hortências, 1390 - Jardim do Estádio, Santo André - SP, 09175-500 ",(11) 99268-4295 ,N/A (Ignorado por segurança),Não informado
Saldão luzita,"Avenida Dom Pedro l 3581 - Vila Luzita, Santo André - SP, 09132-032 ",(11) 2324-3204 ,N/A (Ignorado por segurança),Não informado
Brechó Tucano,"R. Campos Sales, 225 - Centro, Santo André - SP, 09015-200 ",(11) 96206-5997 ,N/A (Ignorado por segurança),https://www.instagram.com/brechotucano/
SamaOutlet,"Av. das Nações, 15 - Parque Novo Oratório, Santo André - SP, 09260-000 ",(11) 95329-3282 ,N/A (Ignorado por segurança),Não informado
"General Colchões, Móveis e Decorações","Esquina com o calçadão - Rua General Glicério, R. Cel. Oliveira Lima, 285 - Centro, Santo André - SP, 09015-190 ",(11) 96490-4823 ,N/A (Ignorado por segurança),Não informado
Nova Laca ABC - Laqueação e Restauração de Móveis,"R. Dona Nina Zanotto, 563 - Jardim Las Vegas, Santo André - SP, 09182-410 ",(11) 93707-0640 ,N/A (Ignorado por segurança),https://linktr.ee/novalacaabc
ABC OFFICE MOVEIS PARA ESCRITORIOS,"Av. Brasília, 65 - Vila Bela Vista, Santo André - SP, 09180-260 ",(11) 4901-6045 ,N/A (Ignorado por segurança),http://www.abcofficemoveis.com.br/
Rhiad Moveis,"R. Miguel Ferreira de Melo, 981 - Jardim Santo Andre, São Paulo - SP, 08390-000 ",(11) 2752-9918 ,N/A (Ignorado por segurança),Não informado
Brechó Achei Aqui,"Av. São Bernardo do Campo, 278 - Jardim Teles de Menezes, Santo André - SP, 09171-100 ",(11) 94524-8350 ,N/A (Ignorado por segurança),Não informado
A.R Arte e Decoração,"Av. Portugal - Jardim Bela Vista, Santo André - SP, 09040-000 ",(11) 98925-6915 ,N/A (Ignorado por segurança),https://www.arartesedecoracoes.com/
Rk@#PRODUTOS,"Av. das Nações, 1457 - Parque Erasmo Assunção, Santo André - SP, 09271-400 ",(11) 95600-4064 ,N/A (Ignorado por segurança),Não informado
Sandy,"Av. Dom Pedro I, 4159 - Vila Guarará, Santo André - SP, 09132-033 ",(11) 4451-4326 ,N/A (Ignorado por segurança),Não informado
Primavera Móveis e Decorações,"Av. Itamarati, 2484 - Parque Erasmo Assunção, Santo André - SP, 09271-410 ",(11) 4401-2149 ,N/A (Ignorado por segurança),https://instagram.com/primavera.moveis.decor
Cid Lar Móveis Usados,"Av. Cap. Mário Toledo de Camargo, 5489 - Vila América, Santo André - SP, 09110-305 ",(11) 98319-1192 ,N/A (Ignorado por segurança),Não informado
SamFlex Móveis,"R. Profa. Maria Losangeles Navarro, 11 - Parque Marajoara, Santo André - SP, 09112-280 ",(11) 99566-3900 ,N/A (Ignorado por segurança),https://moveisparaescritorionoabc.com.br/
Soluções Office Cadeiras,"R. Aguapeí, 227 - Santa Maria, Santo André - SP, 09070-090 ",(11) 98983-9679 ,N/A (Ignorado por segurança),https://officecadeiras.com.br/
CC Móveis Para Salão de Beleza e Barbearia,"Av. dos Estados, 6797 - Parque Jaçatuba, Santo André - SP, 09290-520 ",(11) 95828-0077 ,N/A (Ignorado por segurança),https://www.ccmoveisparasalao.com.br/
Comércio De Móveis Usados.,"R. Cel. Fernando Prestes, 200 - Vila Assunção, Santo André - SP, 09020-110 ",(11) 4436-9073 ,N/A (Ignorado por segurança),Não informado
SKS - Móveis Para Escritório,"Av. Varsóvia, 544 - Vila Metalúrgica, Santo André - SP, 09220-000 ",(11) 4997-4661 ,N/A (Ignorado por segurança),Não informado
Estao dando golpe com o endereço da minha loja nao posto nada na Internet,"Av. Dom Pedro de Alcântara, 78 - Vila Sao Pedro, São Bernardo do Campo - SP, 09771-280 ",(11) 98428-4090 ,N/A (Ignorado por segurança),Não informado
Móveis Usados Paraíba Compra,"R. Angelina Scopel Pinoti, 183 - Ferrazópolis, São Bernardo do Campo - SP, 09790-290 ",(11) 94367-5469 ,N/A (Ignorado por segurança),Não informado
ZW Móveis Usados - Novos e Seminovos,"R. Almeida Leme, 348B - Parque Sao Bernardo, São Bernardo do Campo - SP, 09761-170 ",(11) 96053-8131 ,N/A (Ignorado por segurança),Não informado
Exército de Salvação - Bazar Beneficente - São Bernardo,"R. Servidão da Passagem Toyota, 1115 - Planalto, São Bernardo do Campo - SP, 09891-002 ",(11) 4003-2299 ,N/A (Ignorado por segurança),http://www.exercitodoacoes.org.br/
Breshoping Móveis Usados,"Estr. do Rio Acima, 1263 - Finco, São Bernardo do Campo - SP, 09830-100 ",(11) 97700-0395 ,N/A (Ignorado por segurança),https://www.facebook.com/p/Breshopping-Moveis-novos-e-usados-100079728006666/
NN MOVEIS NOVOS E SEMI NOVOS E ILUMINAÇÃO DE LED,"Av. Humberto de Alencar Castelo Branco, 3421 - Vila Alves Dias, São Bernardo do Campo - SP, 09850-305 ",(11) 98010-4453 ,N/A (Ignorado por segurança),https://www.instagram.com/nnmoveiseled/
Móveis Usados VP,"R. Hawaí, 28 - Nova Petrópolis, São Bernardo do Campo - SP, 09784-010 ",(11) 95790-9018 ,N/A (Ignorado por segurança),https://sites.google.com/view/mveisusadosvp/in%C3%ADcio
Achados do Brasil - Móveis Rústicos,"Rua Thales dos Santos Freire, 250 - Baeta Neves, São Bernardo do Campo - SP, 09751-250 ",(11) 4337-1169 ,N/A (Ignorado por segurança),http://www.achadosdobrasil.com.br/
Magazine Brecholine,"R. Belarmino Francisco Vasconcelos, 363 - Baeta Neves, São Bernardo do Campo - SP, 09760-750 ",(11) 91741-3197 ,N/A (Ignorado por segurança),https://biolink.info/magazinebrecholine
Móveis e Decorações Amadeu,"R. Mal. Deodoro, 2334 / 2352 - Centro, São Bernardo do Campo - SP, 09710-212 ",(11) 4127-1209 ,N/A (Ignorado por segurança),http://www.moveisamadeu.com.br/
Maria Móveis SBC,"R. Afonsina, 244 - Rudge Ramos, São Bernardo do Campo - SP, 09061-300 ",(11) 97202-4666 ,N/A (Ignorado por segurança),https://www.instagram.com/maria_moveissbc/
Roberto Móveis Usados,"R. Arlíndo Marcheti, 400 - Santa Maria, São Caetano do Sul - SP, 09560-410 ",(11) 99757-3323 ,N/A (Ignorado por segurança),Não informado
Cleo antiguidades,"R. Dr. Amâncio de Carvalho, 1105 - Baeta Neves, São Bernardo do Campo - SP, 09751-470 ",(11) 98984-1876 ,N/A (Ignorado por segurança),Não informado
Bazar Beneficente ASIMD,"R. Pedro de Tolêdo, 147 - Paulicéia, São Bernardo do Campo - SP, 09692-060 ",(11) 4173-2636 ,N/A (Ignorado por segurança),https://www.asimd.org.br/
Instituição Assistencial Meimei,"R. Francisco Alves, 275 - Paulicéia, São Bernardo do Campo - SP, 09692-000 ",(11) 4176-8600 ,N/A (Ignorado por segurança),http://www.iam.org.br/
Rio Grande Do Sul Móveis E Decorações,"Estrada do Poney Club, 1125 - Alvarenga, São Bernardo do Campo - SP, 09853-005 ",4357-7742 ,N/A (Ignorado por segurança),Não informado
VILLA MÒVEIS,"Rua Dráusio, 307 - Paulicéia, São Bernardo do Campo - SP, 09684-000 ",(11) 4361-4837 ,N/A (Ignorado por segurança),Não informado
Vianas Móveis E Colchões,"Vianas Móveis E Colchões - R. dos Vianas, 2852 - Baeta Neves, São Bernardo do Campo - SP, 09761-000 ",(11) 4121-5735 ,N/A (Ignorado por segurança),Não informado
Garotinho Móveis e materiais de construção usados,"R. dos Vianas, 2563 - Baeta Neves, São Bernardo do Campo - SP, 09761-000 ",(11) 96220-1628 ,N/A (Ignorado por segurança),Não informado
Depósito Piccolli & Premier Moveis,"R. Coimbra, 35 - Vila Lusitania, São Bernardo do Campo - SP, 09725-190 ",(11) 4127-8465 ,N/A (Ignorado por segurança),https://piccolliepremier.com.br/
Cléo Móveis,"Av. Rotary, 645 - Centro, São Bernardo do Campo - SP, 09721-000 ",(11) 99438-2793 ,N/A (Ignorado por segurança),https://www.instagram.com/lojacleomoveis/
Moveis Usados Santa Rita,"R. dos Jasmins, 39 - Piraporinha, Diadema - SP, 09950-460 ",(11) 2375-3089 ,N/A (Ignorado por segurança),Não informado
Pereira moveis,"Rua Pais de Andrade - Ferrazópolis, São Bernardo do Campo - SP, 09781-160 ",(11) 98567-8718 ,N/A (Ignorado por segurança),Não informado
Usados Rocha,"R. Antônio Serafim Bueno, 63 - Jardim Nazareth, São Bernardo do Campo - SP, 09851-610 ",(11) 95717-3385 ,N/A (Ignorado por segurança),Não informado
Sol Móveis Semi-novos / Compra e Venda / São Caetano do Sul,"R. Boa Vista, 498 - B - Boa Vista, São Caetano do Sul - SP, 09572-300 ",(11) 99564-7336 ,N/A (Ignorado por segurança),Não informado
Couch Móveis e Decorações,"R. Afonsina, 35 - Rudge Ramos, São Bernardo do Campo - SP, 09633-000 ",(11) 4330-5314 ,N/A (Ignorado por segurança),Não informado
Outlet Nunes Móveis,"Av. Albert Schweitzer, 630 - Ferrazópolis, São Bernardo do Campo - SP, 09790-000 ",(11) 94890-8663 ,N/A (Ignorado por segurança),https://www.instagram.com/nunesmoveisecolchoes/
Móveis Marechal,"R. Mal. Deodoro, 551 - Centro, São Bernardo do Campo - SP, 09710-010 ",(11) 4123-2313 ,N/A (Ignorado por segurança),Não informado
Gina Móveis,"Av. Humberto de Alencar Castelo Branco, 3337 - Assunção, São Bernardo do Campo - SP, 09850-305 ",(11) 4109-8915 ,N/A (Ignorado por segurança),Não informado
JP Móveis,"Estr. dos Casa, 3175 - Bairro dos Casa, São Bernardo do Campo - SP, 09840-000 ",(11) 4104-3684 ,N/A (Ignorado por segurança),Não informado
Mohian Móveis e Dec,"Rua, Av. Álvaro Guimarães, 274 - Planalto, São Bernardo do Campo - SP, 09725-630 ",(11) 4330-5677 ,N/A (Ignorado por segurança),Não informado
15 de Novembro Moveis,"R. Mal. Deodoro, 2785 - Ferrazópolis, São Bernardo do Campo - SP, 09710-010 ",(11) 4121-8103 ,N/A (Ignorado por segurança),Não informado
Exército de Salvação - Centro Logístico,"R. Servidão da Passagem Toyota, 1115 - Jardim Gagliardi, São Bernardo do Campo - SP, 09891-005 ",(11) 3238-4600 ,N/A (Ignorado por segurança),http://doacoes.org.br/
Dona Lucinda Usados em Geral,"R. Amazonas, 1883 - Oswaldo Cruz, São Caetano do Sul - SP, 09540-203 ",(11) 99140-0040 ,N/A (Ignorado por segurança),Não informado
Arredare Móveis,"R. Frei Damião - Jardim Calux, São Bernardo do Campo - SP, 09895-605 ",(11) 96508-2217 ,N/A (Ignorado por segurança),Não informado
Bre-Shop Paulicéia,"R. Dezessete de Março, 554 - Vila Odete, São Bernardo do Campo - SP, 09685-000 ",(11) 96912-1232 ,N/A (Ignorado por segurança),Não informado
Desapego Kibarato,"R. Alagoas, 678 - Centro, São Caetano do Sul - SP, 09521-050 ",(11) 91354-3249 ,N/A (Ignorado por segurança),https://www.instagram.com/casadosusadoss/
Galpão Dona Rosa,"R. Rafael Corrêa Sampaio, 114 - Santo Antônio, São Caetano do Sul - SP, 09541-250 ",(11) 94446-0601 ,N/A (Ignorado por segurança),Não informado
Familia Stok Total,"R. Ivaí, 738 - Santa Maria, São Caetano do Sul - SP, 09560-670 ",(11) 99788-5777 ,N/A (Ignorado por segurança),Não informado
Image Home Mega Store,"R. Herculano de Freitas, 795 - Fundação, São Caetano do Sul - SP, 09520-280 ",(11) 4221-9421 ,N/A (Ignorado por segurança),Não informado
Renato Móveis,"R. Costa Barros, 13 - Vila Alpina, São Paulo - SP, 03210-000 ",(11) 97795-6497 ,N/A (Ignorado por segurança),Não informado
"Melhor Cadeira - Cadeiras de Escritório, Executivas e Ergonomicas Seminovas","R. Rio Branco - Fundação, São Caetano do Sul - SP, 09520-630 ",(11) 98507-8169 ,N/A (Ignorado por segurança),https://www.instagram.com/melhorcadeira/
Preci Moveis Usados,"Av. São Paulo, 268 - Jardim Armenia, Mogi das Cruzes - SP, 08780-570 ",(11) 97119-1006 ,N/A (Ignorado por segurança),https://www.instagram.com/precimoveis/
JM Móveis Usados,"R. Pres. Getúlio Vargas - Vila Mogi Moderno, Mogi das Cruzes - SP, 08715-400 ",(11) 4725-7515 ,N/A (Ignorado por segurança),Não informado
Multi Usados,"Av. Lourenço de Souza Franco, 488 - Jundiapeba, Mogi das Cruzes - SP, 08750-560 ",(11) 4727-7272 ,N/A (Ignorado por segurança),Não informado
Móveis Ipiranga,"R. Ipiranga, 136 - Centro, Mogi das Cruzes - SP, 08717-000 ",(11) 99527-0963 ,N/A (Ignorado por segurança),Não informado
Moveis e Eletros USADOS S. FRANCISCO - Compramos e Vendemos Móveis e Eletrodomésticos em Geral,"Estr. Jinichi Shigeno, 427 - Vila da Prata, Mogi das Cruzes - SP, 08725-225 ",(11) 94128-5693 ,N/A (Ignorado por segurança),https://www.facebook.com/profile.php?id=100009490128273
Bahia Móveis Novos e Usados,"R. Camargo, 48 - Jardim Aeroporto III, Mogi das Cruzes - SP, 08761-060 ",(11) 99840-7838 ,N/A (Ignorado por segurança),Não informado
"Rical, loja de departamento novos e usados","R. Dr. Ricardo Vilela, 753 - Centro, Mogi das Cruzes - SP, 08710-150 ",(11) 2378-3551 ,N/A (Ignorado por segurança),Não informado
Vend e Trok Comércio de Usados,"R. Fidalgo, 69 - Centro, Mogi das Cruzes - SP, 08773-180 ",(11) 4791-2391 ,N/A (Ignorado por segurança),Não informado
Farias Móveis,"R. Profa. Lucinda Bastos, 1507 - Jundiapeba, Mogi das Cruzes - SP, 08750-580 ",(11) 97467-7821 ,N/A (Ignorado por segurança),Não informado
Estação Usados,"R. Gonçalo Ferreira, 298 - Jardim Pte. Grande, Mogi das Cruzes - SP, 08770-460 ",(11) 97281-2762 ,N/A (Ignorado por segurança),http://www.instagram.com/estacaousados
Ruti móveis usados FC,"Avenida Japão 530 Sentido - parque sao martinho, Mogi das Cruzes - SP, 08763-000 ",(11) 98227-8308 ,N/A (Ignorado por segurança),Não informado
Bwe Usados,"R. Gonçalo Ferreira, 294 - Ponte Grande, Mogi das Cruzes - SP, 08770-460 ",(11) 94066-5668 ,N/A (Ignorado por segurança),http://www.instagram.com/bweusados
Cazatudo Móveis de A a Z,"R. Dr. Deodato Wertheimer, 1632 - Centro, Mogi das Cruzes - SP, 08710-430 ",(11) 4725-1244 ,N/A (Ignorado por segurança),https://beacons.ai/cazatudo.com_outlet?fbclid=PAZXh0bgNhZW0CMTEAAafCbul2Eu9wm3XuyxrV0kLH2AolgbOwI4y0otNm6czx0GVKDwW9YBuQVP6PoQ_aem_KNsSBC9uCjskqBNqv1kEAg
S.O.S. Comércio Varejista de Móveis Usados Seminovos Antiguidades em Geral,"R. Magdalena Sguilaro Amorim - Lot. Acrisio de Oliveira Silva, Mogi das Cruzes - SP, 08737-260 ",(11) 2629-0387 ,N/A (Ignorado por segurança),Não informado
Móveis Rústicos,"Rod. Dom Paulo Rolim Loureiro, 7164 - Vila Moraes, Mogi das Cruzes - SP, 08766-500 ",(11) 4799-1961 ,N/A (Ignorado por segurança),https://www.moveisrusticosmogi.com.br/
Compra Madeira Usada e Demolição,"Av. Prefeito Francisco Ribeiro Nogueira, 3226 - Vila Mogi Moderno, Mogi das Cruzes - SP, 08717-490 ",(11) 97443-9887 ,N/A (Ignorado por segurança),http://www.compramadeirausada.com/
Freitas Móveis,"Rua Capitão Joaquim de Mello Freire - Vila Vitoria, Mogi das Cruzes - SP, 08730-440 ",(11) 2378-0937 ,N/A (Ignorado por segurança),Não informado
Hindi Lar moveis,"Alameda Santo Ângelo, 396 - Jundiapeba, Mogi das Cruzes - SP, 08750-510 ",(11) 95763-4652 ,N/A (Ignorado por segurança),Não informado
MAQFAX MÓVEIS PARA ESCRITÓRIO,"R. Dr. Ricardo Vilela, 238 - Centro, Mogi das Cruzes - SP, 08710-150 ",(11) 4726-3833 ,N/A (Ignorado por segurança),http://maqfax.com.br/
Moveis Barreto,"R. Silvandira, 340 - Jardim Felix e Milton, Mogi das Cruzes - SP, 08593-120 ",(11) 4755-5270 ,N/A (Ignorado por segurança),Não informado
Elbor Planejados,"R. Cel. Souza Franco, 864 - Centro, Mogi das Cruzes - SP, 08710-025 ",(11) 97076-4534 ,N/A (Ignorado por segurança),https://www.instagram.com/elborplanejados/
Ecoponto Jardim Armênia,"Rua Júlio Perotti, 353 - Jardim Armenia, Mogi das Cruzes - SP, 08780-810 ",(11) 4798-5966 ,N/A (Ignorado por segurança),Não informado
MOISÉS MÓVEIS,"R. Constelation, 474 - Jardim Aeroporto III, Mogi das Cruzes - SP, 08761-090 ",(11) 91643-2594 ,N/A (Ignorado por segurança),Não informado
W.S Móveis Usados e Semi Novos,"R. Ipiranga, 135 - Centro, Mogi das Cruzes - SP, 08717-000 ",(11) 97355-7900 ,N/A (Ignorado por segurança),Não informado
Mercadão da Dalva,"Estr. da Fazendinha, 1497 - Jardim Ana Estela, Carapicuíba - SP, 06343-290 ",(11) 4186-0643 ,N/A (Ignorado por segurança),Não informado
Casa de Usados,"R. Baependi, 41 - Conj. Hab. Pres. Castelo Branco, Carapicuíba - SP, 06329-000 ",(11) 2803-3436 ,N/A (Ignorado por segurança),Não informado
Canaã Moveis Usados,"Estrada do Jacarandá - Jardim Roseli, Carapicuíba - SP, 06365-130 ",(11) 95476-3502 ,N/A (Ignorado por segurança),Não informado
Casa De Móveis Usados & Eletrodomésticos Em Geral,"Estr. do Pequiá - Vila Silviania, Carapicuíba - SP, 06381-095 ",(11) 96686-1524 ,N/A (Ignorado por segurança),Não informado
Usados Marcão,"R. Ângelo Pavanelli, 56 - Parque Santa Teresa, Carapicuíba - SP, 06341-090 ",(11) 97635-1590 ,N/A (Ignorado por segurança),Não informado
Venda de Móveis Usados e assistência Técnica em eletrodoméstico,"25 R. Bocaiúva Conjunto Habitacional, Rodovia Presidente Castelo Branco, Carapicuíba - SP, 06329-230 ",(11) 97035-9503 ,N/A (Ignorado por segurança),Não informado
MM,"R. Amélia Marquês de Oliveira - Altos da Santa Lucia, Carapicuíba - SP, 06365-370 ",(11) 94793-4674 ,N/A (Ignorado por segurança),Não informado
Saldão Pai e Filho,"Estr. do Guatambú, 491 - Vila Silviania, Carapicuíba - SP, 06321-620 ",(11) 4207-8476 ,N/A (Ignorado por segurança),Não informado
Lojão da Comunidade,"Av. Inocêncio Seráfico, 3091 - Vila Veloso, Carapicuíba - SP, 06343-410 ",(11) 94617-1363 ,N/A (Ignorado por segurança),Não informado
QUASE TUDO BRASIL,"Estr. do Guatambú, 570 - Vila Silviania, Carapicuíba - SP, 06321-620 ",(11) 99956-0440 ,N/A (Ignorado por segurança),Não informado
Tina Móveis,"Rua Miguel Barbar, 373 - Vila Gustavo Correia, Carapicuíba - SP, 06310-320 ",(11) 4184-7125 ,N/A (Ignorado por segurança),Não informado
Baesso Comercio de Moveis Novos e Semi Novos,"R. Agudenses, 267 - Vila Margarida, Carapicuíba - SP, 06331-160 ",(11) 3852-8860 ,N/A (Ignorado por segurança),Não informado
Montador de Móveis top,"R. Yukio Wada, 102 - Leopoldina, Carapicuíba - SP, 06382-090 ",(11) 98332-6079 ,N/A (Ignorado por segurança),https://g.co/kgs/rerNQZ
Azullar Moveis,"Av. Inocêncio Seráfico, 3336 - Vila Silva Ribeiro, Carapicuíba - SP, 06380-021 ",(11) 4187-3019 ,N/A (Ignorado por segurança),Não informado
Comércio de Móveis Ferreira Ltda.,"R. Itajubá, 54 - Parque Santa Teresa, Carapicuíba - SP, 06341-160 ",(11) 4186-4022 ,N/A (Ignorado por segurança),Não informado
Casa Maria Maia,"R. Eduardo Augusto Mesquita, 357 - Parque Santa Teresa, Carapicuíba - SP, 06340-380 ",(11) 4146-7100 ,N/A (Ignorado por segurança),http://www.casamariamaia.org.br/
Komfort House - Loja Carapicuíba,"Av. Inocêncio Seráfico, 1. 340 - Vila Silva Ribeiro, Carapicuíba - SP, 06343-410 ",(11) 4280-1500 ,N/A (Ignorado por segurança),http://www.komforthouse.com.br/
BARUK HOUSE OUTLET DE MÓVEIS,"Estr. da Gabiroba, 212 - Jardim Copiuva, Carapicuíba - SP, 06332-008 ",(11) 96752-8390 ,N/A (Ignorado por segurança),Não informado
Lojas Marabraz,"Av. Rui Barbosa, 661 - Centro, Carapicuíba - SP, 06320-030 ",0300 777 7001 ,N/A (Ignorado por segurança),https://www.marabraz.com.br/
The Montagem,Não informado,(11) 97190-4466 ,N/A (Ignorado por segurança),Não informado
Móveis Natal,"R. Serra Roraima, 5 - Jardim Planalto, Carapicuíba - SP, 06360-180 ",(11) 4207-6658 ,N/A (Ignorado por segurança),Não informado
